2026-03-07T14:11:13 | INFO     | scrapers.car_reviews_demo | Processing URL 1/2: https://www.caranddriver.com/toyota/camry
2026-03-07T14:11:13 | INFO     | scrapers.car_reviews_demo | Fetching: https://www.caranddriver.com/toyota/camry
2026-03-07T14:11:13 | INFO     | scrapers.http_client | GET https://www.caranddriver.com/toyota/camry  (UA: Mozilla/5.0 (Linux; Android 14; Pixel 8)…)
2026-03-07T14:11:20 | INFO     | scrapers.http_client | GET https://www.caranddriver.com/toyota/camry → 200 (2026923 bytes)
2026-03-07T14:11:20 | INFO     | scrapers.car_reviews_demo | Fetched https://www.caranddriver.com/toyota/camry — status=200, size=2026676 chars
2026-03-07T14:11:20 | DEBUG    | scrapers.car_reviews_demo | Stored raw_page for https://www.caranddriver.com/toyota/camry (hash=c94879d6f70220c6…)
2026-03-07T14:11:20 | INFO     | scrapers.car_reviews_demo | Parsed 1 car reviews.
2026-03-07T14:11:20 | INFO     | scrapers.car_reviews_demo | Parsed 1 record(s) from https://www.caranddriver.com/toyota/camry
2026-03-07T14:11:20 | INFO     | scrapers.car_reviews_demo | Processing URL 2/2: https://www.motortrend.com/cars/honda/accord/
2026-03-07T14:11:20 | INFO     | scrapers.car_reviews_demo | Fetching: https://www.motortrend.com/cars/honda/accord/
2026-03-07T14:11:20 | INFO     | scrapers.http_client | GET https://www.motortrend.com/cars/honda/accord/  (UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 1…)
2026-03-07T14:11:58 | INFO     | scrapers.http_client | GET https://www.motortrend.com/cars/honda/accord/ → 200 (4221592 bytes)
2026-03-07T14:11:58 | INFO     | scrapers.car_reviews_demo | Fetched https://www.motortrend.com/cars/honda/accord/ — status=200, size=4221548 chars
2026-03-07T14:11:58 | DEBUG    | scrapers.car_reviews_demo | Stored raw_page for https://www.motortrend.com/cars/honda/accord/ (hash=3615684763ebdc21…)
2026-03-07T14:11:58 | INFO     | scrapers.car_reviews_demo | Parsed 1 car reviews.
2026-03-07T14:11:58 | INFO     | scrapers.car_reviews_demo | Parsed 1 record(s) from https://www.motortrend.com/cars/honda/accord/
2026-03-07T14:11:58 | INFO     | scrapers.car_reviews_demo | Run complete — 2 total records from 2 URL(s)
2026-03-07T14:11:58 | DEBUG    | scrapers.http_client | HttpClient session closed.
2026-03-07T14:11:58 | DEBUG    | scrapers.http_client | HttpClient initialised (timeout=15s, max_retries=3, rate_limiter=RateLimiter(requests_per_second=1.0, min_interval=1.000s))
2026-03-07T14:11:58 | INFO     | scrapers.insurance_reviews_demo | Scraper 'insurance_reviews_demo' initialised — 2 URL(s) queued, rate=1.00 req/s
2026-03-07T14:11:58 | INFO     | scrapers.insurance_reviews_demo | Starting run — source='insurance_reviews_demo', 2 URL(s)
2026-03-07T14:11:58 | INFO     | scrapers.insurance_reviews_demo | Processing URL 1/2: https://www.nerdwallet.com/reviews/insurance/geico
2026-03-07T14:11:58 | INFO     | scrapers.insurance_reviews_demo | Fetching: https://www.nerdwallet.com/reviews/insurance/geico
2026-03-07T14:11:58 | INFO     | scrapers.http_client | GET https://www.nerdwallet.com/reviews/insurance/geico  (UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64…)
2026-03-07T14:12:02 | INFO     | scrapers.http_client | GET https://www.nerdwallet.com/reviews/insurance/geico → 200 (1302356 bytes)
2026-03-07T14:12:02 | INFO     | scrapers.insurance_reviews_demo | Fetched https://www.nerdwallet.com/reviews/insurance/geico — status=200, size=1302168 chars
2026-03-07T14:12:02 | DEBUG    | scrapers.insurance_reviews_demo | Stored raw_page for https://www.nerdwallet.com/reviews/insurance/geico (hash=d2e7b04122922303…)
2026-03-07T14:12:02 | INFO     | scrapers.insurance_reviews_demo | Parsed 1 insurance reviews.
2026-03-07T14:12:02 | INFO     | scrapers.insurance_reviews_demo | Parsed 1 record(s) from https://www.nerdwallet.com/reviews/insurance/geico
2026-03-07T14:12:02 | INFO     | scrapers.insurance_reviews_demo | Processing URL 2/2: https://www.forbes.com/advisor/car-insurance/reviews/state-farm/
2026-03-07T14:12:02 | INFO     | scrapers.insurance_reviews_demo | Fetching: https://www.forbes.com/advisor/car-insurance/reviews/state-farm/
2026-03-07T14:12:02 | INFO     | scrapers.http_client | GET https://www.forbes.com/advisor/car-insurance/reviews/state-farm/  (UA: Mozilla/5.0 (Linux; Android 13; SM-G991B…)
2026-03-07T14:12:02 | ERROR    | scrapers.http_client | HTTP error fetching https://www.forbes.com/advisor/car-insurance/reviews/state-farm/ → status=403: 403 Client Error: Forbidden for url: https://www.forbes.com/advisor/car-insurance/reviews/state-farm/
2026-03-07T14:12:02 | ERROR    | scrapers.insurance_reviews_demo | Failed to fetch https://www.forbes.com/advisor/car-insurance/reviews/state-farm/ — HTTPError: 403 Client Error: Forbidden for url: https://www.forbes.com/advisor/car-insurance/reviews/state-farm/
2026-03-07T14:12:02 | DEBUG    | scrapers.insurance_reviews_demo | Stored raw_page for https://www.forbes.com/advisor/car-insurance/reviews/state-farm/ (hash=…)
2026-03-07T14:12:02 | WARNING  | scrapers.insurance_reviews_demo | Skipping parse for https://www.forbes.com/advisor/car-insurance/reviews/state-farm/ — no HTML returned
2026-03-07T14:12:02 | INFO     | scrapers.insurance_reviews_demo | Run complete — 1 total records from 2 URL(s)
2026-03-07T14:12:02 | DEBUG    | scrapers.http_client | HttpClient session closed.
2026-03-07T14:12:02 | DEBUG    | scrapers.http_client | HttpClient initialised (timeout=15s, max_retries=3, rate_limiter=RateLimiter(requests_per_second=1.0, min_interval=1.000s))
2026-03-07T14:12:02 | INFO     | scrapers.market_news_demo | Scraper 'market_news_demo' initialised — 2 URL(s) queued, rate=1.00 req/s
2026-03-07T14:12:02 | INFO     | scrapers.market_news_demo | Starting run — source='market_news_demo', 2 URL(s)
2026-03-07T14:12:02 | INFO     | scrapers.market_news_demo | Processing URL 1/2: https://www.reuters.com/business/autos-transportation/
2026-03-07T14:12:02 | INFO     | scrapers.market_news_demo | Fetching: https://www.reuters.com/business/autos-transportation/
2026-03-07T14:12:02 | INFO     | scrapers.http_client | GET https://www.reuters.com/business/autos-transportation/  (UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 1…)
2026-03-07T14:12:04 | ERROR    | scrapers.http_client | HTTP error fetching https://www.reuters.com/business/autos-transportation/ → status=401: 401 Client Error: HTTP Forbidden for url: https://www.reuters.com/business/autos-transportation/
2026-03-07T14:12:04 | ERROR    | scrapers.market_news_demo | Failed to fetch https://www.reuters.com/business/autos-transportation/ — HTTPError: 401 Client Error: HTTP Forbidden for url: https://www.reuters.com/business/autos-transportation/
2026-03-07T14:12:04 | DEBUG    | scrapers.market_news_demo | Stored raw_page for https://www.reuters.com/business/autos-transportation/ (hash=…)
2026-03-07T14:12:04 | WARNING  | scrapers.market_news_demo | Skipping parse for https://www.reuters.com/business/autos-transportation/ — no HTML returned
2026-03-07T14:12:04 | INFO     | scrapers.market_news_demo | Processing URL 2/2: https://www.bloomberg.com/markets/sectors/consumer-discretionary/automobiles-components
2026-03-07T14:12:04 | INFO     | scrapers.market_news_demo | Fetching: https://www.bloomberg.com/markets/sectors/consumer-discretionary/automobiles-components
2026-03-07T14:12:04 | INFO     | scrapers.http_client | GET https://www.bloomberg.com/markets/sectors/consumer-discretionary/automobiles-components  (UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64…)
2026-03-07T14:12:04 | ERROR    | scrapers.http_client | HTTP error fetching https://www.bloomberg.com/markets/sectors/consumer-discretionary/automobiles-components → status=403: 403 Client Error: Forbidden for url: https://www.bloomberg.com/markets/sectors/consumer-discretionary/automobiles-components
2026-03-07T14:12:04 | ERROR    | scrapers.market_news_demo | Failed to fetch https://www.bloomberg.com/markets/sectors/consumer-discretionary/automobiles-components — HTTPError: 403 Client Error: Forbidden for url: https://www.bloomberg.com/markets/sectors/consumer-discretionary/automobiles-components
2026-03-07T14:12:04 | DEBUG    | scrapers.market_news_demo | Stored raw_page for https://www.bloomberg.com/markets/sectors/consumer-discretionary/automobiles-components (hash=…)
2026-03-07T14:12:04 | WARNING  | scrapers.market_news_demo | Skipping parse for https://www.bloomberg.com/markets/sectors/consumer-discretionary/automobiles-components — no HTML returned
2026-03-07T14:12:04 | INFO     | scrapers.market_news_demo | Run complete — 0 total records from 2 URL(s)
2026-03-07T14:12:04 | DEBUG    | scrapers.http_client | HttpClient session closed.
2026-03-07T14:14:48 | DEBUG    | scrapers.http_client | HttpClient initialised (timeout=15s, max_retries=3, rate_limiter=RateLimiter(requests_per_second=1.0, min_interval=1.000s))
2026-03-07T14:14:48 | INFO     | scrapers.car_reviews_demo | Scraper 'car_reviews_demo' initialised — 2 URL(s) queued, rate=1.00 req/s
2026-03-07T14:14:48 | INFO     | scrapers.car_reviews_demo | Starting run — source='car_reviews_demo', 2 URL(s)
2026-03-07T14:14:48 | INFO     | scrapers.car_reviews_demo | Processing URL 1/2: https://www.caranddriver.com/toyota/camry
2026-03-07T14:14:48 | INFO     | scrapers.car_reviews_demo | Fetching: https://www.caranddriver.com/toyota/camry
2026-03-07T14:14:48 | INFO     | scrapers.http_client | GET https://www.caranddriver.com/toyota/camry  (UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 1…)
2026-03-07T14:14:50 | INFO     | scrapers.http_client | GET https://www.caranddriver.com/toyota/camry → 200 (2026923 bytes)
2026-03-07T14:14:50 | INFO     | scrapers.car_reviews_demo | Fetched https://www.caranddriver.com/toyota/camry — status=200, size=2026676 chars
2026-03-07T14:14:50 | DEBUG    | scrapers.car_reviews_demo | Stored raw_page for https://www.caranddriver.com/toyota/camry (hash=c94879d6f70220c6…)
2026-03-07T14:14:50 | INFO     | scrapers.car_reviews_demo | Parsed 1 car reviews.
2026-03-07T14:14:50 | INFO     | scrapers.car_reviews_demo | Parsed 1 record(s) from https://www.caranddriver.com/toyota/camry
2026-03-07T14:14:50 | INFO     | scrapers.car_reviews_demo | Processing URL 2/2: https://www.motortrend.com/cars/honda/accord/
2026-03-07T14:14:50 | INFO     | scrapers.car_reviews_demo | Fetching: https://www.motortrend.com/cars/honda/accord/
2026-03-07T14:14:50 | INFO     | scrapers.http_client | GET https://www.motortrend.com/cars/honda/accord/  (UA: Mozilla/5.0 (Android 13; Mobile; rv:122.…)
2026-03-07T14:14:52 | INFO     | scrapers.http_client | GET https://www.motortrend.com/cars/honda/accord/ → 200 (4221592 bytes)
2026-03-07T14:14:52 | INFO     | scrapers.car_reviews_demo | Fetched https://www.motortrend.com/cars/honda/accord/ — status=200, size=4221548 chars
2026-03-07T14:14:52 | DEBUG    | scrapers.car_reviews_demo | Stored raw_page for https://www.motortrend.com/cars/honda/accord/ (hash=3615684763ebdc21…)
2026-03-07T14:14:52 | INFO     | scrapers.car_reviews_demo | Parsed 1 car reviews.
2026-03-07T14:14:52 | INFO     | scrapers.car_reviews_demo | Parsed 1 record(s) from https://www.motortrend.com/cars/honda/accord/
2026-03-07T14:14:52 | INFO     | scrapers.car_reviews_demo | Run complete — 2 total records from 2 URL(s)
2026-03-07T14:14:52 | DEBUG    | scrapers.http_client | HttpClient session closed.
2026-03-07T14:15:15 | DEBUG    | scrapers.http_client | HttpClient initialised (timeout=15s, max_retries=3, rate_limiter=RateLimiter(requests_per_second=1.0, min_interval=1.000s))
2026-03-07T14:15:15 | INFO     | scrapers.car_reviews_demo | Scraper 'car_reviews_demo' initialised — 2 URL(s) queued, rate=1.00 req/s
2026-03-07T14:15:15 | INFO     | scrapers.car_reviews_demo | Starting run — source='car_reviews_demo', 2 URL(s)
2026-03-07T14:15:15 | INFO     | scrapers.car_reviews_demo | Processing URL 1/2: https://www.caranddriver.com/toyota/camry
2026-03-07T14:15:15 | INFO     | scrapers.car_reviews_demo | Fetching: https://www.caranddriver.com/toyota/camry
2026-03-07T14:15:15 | INFO     | scrapers.http_client | GET https://www.caranddriver.com/toyota/camry  (UA: Mozilla/5.0 (Linux; Android 13; SM-G991B…)
2026-03-07T14:15:18 | INFO     | scrapers.http_client | GET https://www.caranddriver.com/toyota/camry → 200 (2026923 bytes)
2026-03-07T14:15:18 | INFO     | scrapers.car_reviews_demo | Fetched https://www.caranddriver.com/toyota/camry — status=200, size=2026676 chars
2026-03-07T14:15:18 | DEBUG    | scrapers.car_reviews_demo | Stored raw_page for https://www.caranddriver.com/toyota/camry (hash=c94879d6f70220c6…)
2026-03-07T14:15:18 | INFO     | scrapers.car_reviews_demo | Parsed 1 car reviews.
2026-03-07T14:15:18 | INFO     | scrapers.car_reviews_demo | Parsed 1 record(s) from https://www.caranddriver.com/toyota/camry
2026-03-07T14:15:18 | INFO     | scrapers.car_reviews_demo | Processing URL 2/2: https://www.motortrend.com/cars/honda/accord/
2026-03-07T14:15:18 | INFO     | scrapers.car_reviews_demo | Fetching: https://www.motortrend.com/cars/honda/accord/
2026-03-07T14:15:18 | INFO     | scrapers.http_client | GET https://www.motortrend.com/cars/honda/accord/  (UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64…)
2026-03-07T14:15:37 | INFO     | scrapers.http_client | GET https://www.motortrend.com/cars/honda/accord/ → 200 (4221592 bytes)
2026-03-07T14:15:37 | INFO     | scrapers.car_reviews_demo | Fetched https://www.motortrend.com/cars/honda/accord/ — status=200, size=4221548 chars
2026-03-07T14:15:37 | DEBUG    | scrapers.car_reviews_demo | Stored raw_page for https://www.motortrend.com/cars/honda/accord/ (hash=3615684763ebdc21…)
2026-03-07T14:15:37 | INFO     | scrapers.car_reviews_demo | Parsed 1 car reviews.
2026-03-07T14:15:37 | INFO     | scrapers.car_reviews_demo | Parsed 1 record(s) from https://www.motortrend.com/cars/honda/accord/
2026-03-07T14:15:37 | INFO     | scrapers.car_reviews_demo | Run complete — 2 total records from 2 URL(s)
2026-03-07T14:15:37 | DEBUG    | scrapers.http_client | HttpClient session closed.
2026-03-07T14:19:51 | DEBUG    | scrapers.http_client | HttpClient initialised (timeout=15s, max_retries=3, rate_limiter=RateLimiter(requests_per_second=1.0, min_interval=1.000s))
2026-03-07T14:19:51 | INFO     | scrapers.car_reviews_demo | Scraper 'car_reviews_demo' initialised — 2 URL(s) queued, rate=1.00 req/s
2026-03-07T14:19:51 | INFO     | scrapers.car_reviews_demo | Starting run — source='car_reviews_demo', 2 URL(s)
2026-03-07T14:19:51 | INFO     | scrapers.car_reviews_demo | Processing URL 1/2: https://www.caranddriver.com/toyota/camry
2026-03-07T14:19:51 | INFO     | scrapers.car_reviews_demo | Fetching: https://www.caranddriver.com/toyota/camry
2026-03-07T14:19:51 | INFO     | scrapers.http_client | GET https://www.caranddriver.com/toyota/camry  (UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 1…)
2026-03-07T14:19:52 | INFO     | scrapers.http_client | GET https://www.caranddriver.com/toyota/camry → 200 (2026923 bytes)
2026-03-07T14:19:52 | INFO     | scrapers.car_reviews_demo | Fetched https://www.caranddriver.com/toyota/camry — status=200, size=2026676 chars
2026-03-07T14:19:52 | DEBUG    | scrapers.car_reviews_demo | Stored raw_page for https://www.caranddriver.com/toyota/camry (hash=c94879d6f70220c6…)
2026-03-07T14:19:52 | INFO     | scrapers.car_reviews_demo | Parsed 1 car reviews.
2026-03-07T14:19:52 | INFO     | scrapers.car_reviews_demo | Parsed 1 record(s) from https://www.caranddriver.com/toyota/camry
2026-03-07T14:19:52 | INFO     | scrapers.car_reviews_demo | Processing URL 2/2: https://www.motortrend.com/cars/honda/accord/
2026-03-07T14:19:52 | INFO     | scrapers.car_reviews_demo | Fetching: https://www.motortrend.com/cars/honda/accord/
2026-03-07T14:19:52 | INFO     | scrapers.http_client | GET https://www.motortrend.com/cars/honda/accord/  (UA: Mozilla/5.0 (Android 13; Mobile; rv:122.…)
2026-03-07T14:19:54 | INFO     | scrapers.http_client | GET https://www.motortrend.com/cars/honda/accord/ → 200 (4221592 bytes)
2026-03-07T14:19:54 | INFO     | scrapers.car_reviews_demo | Fetched https://www.motortrend.com/cars/honda/accord/ — status=200, size=4221548 chars
2026-03-07T14:19:54 | DEBUG    | scrapers.car_reviews_demo | Stored raw_page for https://www.motortrend.com/cars/honda/accord/ (hash=3615684763ebdc21…)
2026-03-07T14:19:54 | INFO     | scrapers.car_reviews_demo | Parsed 1 car reviews.
2026-03-07T14:19:54 | INFO     | scrapers.car_reviews_demo | Parsed 1 record(s) from https://www.motortrend.com/cars/honda/accord/
2026-03-07T14:19:54 | INFO     | scrapers.car_reviews_demo | Run complete — 2 total records from 2 URL(s)
2026-03-07T14:19:54 | DEBUG    | scrapers.http_client | HttpClient session closed.
2026-03-07T14:47:02 | DEBUG    | scrapers.http_client | HttpClient initialised (timeout=15s, max_retries=3, rate_limiter=RateLimiter(requests_per_second=1.0, min_interval=1.000s))
2026-03-07T14:47:02 | INFO     | scrapers.car_reviews_demo | Scraper 'car_reviews_demo' initialised — 2 URL(s) queued, rate=1.00 req/s
2026-03-07T14:47:02 | INFO     | scrapers.car_reviews_demo | Starting run — source='car_reviews_demo', 2 URL(s)
2026-03-07T14:47:02 | INFO     | scrapers.car_reviews_demo | Processing URL 1/2: https://www.caranddriver.com/toyota/camry
2026-03-07T14:47:02 | INFO     | scrapers.car_reviews_demo | Fetching: https://www.caranddriver.com/toyota/camry
2026-03-07T14:47:02 | INFO     | scrapers.http_client | GET https://www.caranddriver.com/toyota/camry  (UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64…)
2026-03-07T14:47:03 | INFO     | scrapers.http_client | GET https://www.caranddriver.com/toyota/camry → 200 (2026923 bytes)
2026-03-07T14:47:03 | INFO     | scrapers.car_reviews_demo | Fetched https://www.caranddriver.com/toyota/camry — status=200, size=2026676 chars
2026-03-07T14:47:03 | DEBUG    | scrapers.car_reviews_demo | Stored raw_page for https://www.caranddriver.com/toyota/camry (hash=c94879d6f70220c6…)
2026-03-07T14:47:03 | INFO     | scrapers.car_reviews_demo | Parsed 1 car reviews.
2026-03-07T14:47:03 | INFO     | scrapers.car_reviews_demo | Parsed 1 record(s) from https://www.caranddriver.com/toyota/camry
2026-03-07T14:47:03 | INFO     | scrapers.car_reviews_demo | Processing URL 2/2: https://www.motortrend.com/cars/honda/accord/
2026-03-07T14:47:03 | INFO     | scrapers.car_reviews_demo | Fetching: https://www.motortrend.com/cars/honda/accord/
2026-03-07T14:47:03 | DEBUG    | scrapers.rate_limiter | Rate limiter sleeping 0.094 s (interval=1.000 s, elapsed=0.906 s)
2026-03-07T14:47:03 | INFO     | scrapers.http_client | GET https://www.motortrend.com/cars/honda/accord/  (UA: Mozilla/5.0 (Android 13; Mobile; rv:122.…)
2026-03-07T14:47:06 | INFO     | scrapers.http_client | GET https://www.motortrend.com/cars/honda/accord/ → 200 (4221592 bytes)
2026-03-07T14:47:06 | INFO     | scrapers.car_reviews_demo | Fetched https://www.motortrend.com/cars/honda/accord/ — status=200, size=4221548 chars
2026-03-07T14:47:06 | DEBUG    | scrapers.car_reviews_demo | Stored raw_page for https://www.motortrend.com/cars/honda/accord/ (hash=3615684763ebdc21…)
2026-03-07T14:47:07 | INFO     | scrapers.car_reviews_demo | Parsed 1 car reviews.
2026-03-07T14:47:07 | INFO     | scrapers.car_reviews_demo | Parsed 1 record(s) from https://www.motortrend.com/cars/honda/accord/
2026-03-07T14:47:07 | INFO     | scrapers.car_reviews_demo | Run complete — 2 total records from 2 URL(s)
2026-03-07T14:47:07 | DEBUG    | scrapers.http_client | HttpClient session closed.
2026-03-07T15:03:03 | DEBUG    | scrapers.http_client | HttpClient initialised (timeout=15s, max_retries=3, rate_limiter=RateLimiter(requests_per_second=1.0, min_interval=1.000s))
2026-03-07T15:03:03 | INFO     | scrapers.car_reviews_demo | Scraper 'car_reviews_demo' initialised — 2 URL(s) queued, rate=1.00 req/s
2026-03-07T15:03:03 | INFO     | scrapers.car_reviews_demo | Starting run — source='car_reviews_demo', 2 URL(s)
2026-03-07T15:03:03 | INFO     | scrapers.car_reviews_demo | Processing URL 1/2: https://www.caranddriver.com/toyota/camry
